"bat_id","team_id","bat_result","bat_date"
"1","24","2","2023-03-22 09:04:15"
"2","28","3","2023-03-22 09:27:47"
"3","27","1","2023-03-22 10:36:03"
"4","15","1","2023-03-22 11:27:27"
"5","15","2","2023-03-22 11:27:35"
"6","8","1","2023-03-22 12:14:51"
"7","6","4","2023-03-22 12:27:56"
"8","7","2","2023-03-22 13:46:04"
"9","7","2","2023-03-22 13:46:09"
"10","27","1","2023-03-22 13:53:51"
"11","24","2","2023-03-22 14:11:17"
"12","24","0","2023-03-22 14:11:34"
"13","20","1","2023-03-22 15:07:53"
"14","20","4","2023-03-22 15:08:00"
"15","20","1","2023-03-22 15:08:06"
"16","21","0","2023-03-22 15:53:23"
"17","21","2","2023-03-22 15:53:29"
"18","21","3","2023-03-22 15:54:48"
"19","2","4","2023-03-22 16:10:30"
"20","2","2","2023-03-22 16:10:39"
"21","2","1","2023-03-22 16:10:47"
"22","2","4","2023-03-22 16:10:54"
"23","2","4","2023-03-22 16:11:10"
"24","10","1","2023-03-22 18:05:55"
"25","10","3","2023-03-22 18:06:05"
"26","6","1","2023-03-22 20:30:32"
"27","16","4","2023-03-22 22:29:59"
"28","24","3","2023-03-22 23:43:21"
"29","24","4","2023-03-22 23:43:48"
"30","10","2","2023-03-23 07:24:02"
"31","10","0","2023-03-23 07:24:09"
"32","11","1","2023-03-23 08:16:11"
"33","30","1","2023-03-23 08:29:05"
"34","13","1","2023-03-23 10:54:37"
"35","24","2","2023-03-23 10:55:03"
"36","20","0","2023-03-23 11:03:55"
"37","10","4","2023-03-23 11:58:08"
"38","21","3","2023-03-23 12:59:22"
"39","21","1","2023-03-23 12:59:30"
"40","24","3","2023-03-23 17:42:32"
"41","24","0","2023-03-23 17:42:52"
"42","16","4","2023-03-23 19:06:38"
"43","7","0","2023-03-23 20:02:40"
"44","18","2","2023-03-23 21:19:42"
"45","13","3","2023-03-24 08:12:23"
"46","27","3","2023-03-24 09:12:31"
"47","10","1","2023-03-24 09:23:07"
"48","10","4","2023-03-24 09:23:17"
"49","18","4","2023-03-24 12:45:40"
"50","21","3","2023-03-24 13:10:17"
"51","21","2","2023-03-24 13:10:26"
"52","21","2","2023-03-24 13:10:33"
"53","21","2","2023-03-24 13:10:39"
"54","15","2","2023-03-24 13:11:42"
"55","15","2","2023-03-24 13:11:48"
"56","27","1","2023-03-24 14:10:23"
"57","16","2","2023-03-24 14:35:16"
"58","16","2","2023-03-24 14:35:22"
"59","26","2","2023-03-24 14:35:58"
"60","26","1","2023-03-24 14:36:22"
"61","26","3","2023-03-24 14:36:28"
"62","26","4","2023-03-24 14:36:36"
"63","26","3","2023-03-24 14:36:46"
"64","10","1","2023-03-24 16:22:46"
"65","10","0","2023-03-25 13:16:11"
"66","10","3","2023-03-25 13:16:21"
"67","10","4","2023-03-25 13:16:29"
"68","4","4","2023-03-25 14:20:50"
"69","4","2","2023-03-25 14:21:10"
"70","4","2","2023-03-25 14:21:23"
"71","4","1","2023-03-25 14:21:36"
