"bat_id","team_id","bat_result","bat_date"
"547","68","4","2024-03-09 10:55:08"
"548","82","3","2024-03-09 11:53:40"
"549","82","0","2024-03-09 11:54:05"
"550","69","1","2024-03-09 12:18:16"
"551","69","2","2024-03-09 12:18:25"
"552","68","4","2024-03-09 13:58:37"
"553","69","2","2024-03-09 17:29:22"
"554","89","4","2024-03-09 22:30:56"
"555","92","1","2024-03-10 00:15:16"
"556","64","3","2024-03-10 12:15:21"
"557","69","0","2024-03-10 20:04:31"
"558","69","3","2024-03-10 20:04:41"
"559","79","1","2024-03-10 22:32:22"
"560","92","2","2024-03-11 06:40:24"
"561","84","1","2024-03-11 07:51:12"
"562","84","1","2024-03-11 07:51:20"
"563","84","2","2024-03-11 07:51:32"
"564","68","1","2024-03-11 07:51:42"
"565","82","3","2024-03-11 08:39:14"
"566","71","2","2024-03-11 08:48:32"
"567","70","4","2024-03-11 08:56:44"
"568","70","0","2024-03-11 08:56:55"
"569","70","3","2024-03-11 08:57:01"
"570","70","0","2024-03-11 08:57:08"
"571","70","4","2024-03-11 08:57:25"
"572","90","3","2024-03-11 09:11:49"
"573","77","2","2024-03-11 09:30:23"
"574","77","2","2024-03-11 09:30:31"
"575","72","0","2024-03-11 11:45:42"
"576","72","2","2024-03-11 11:45:47"
"577","72","2","2024-03-11 11:45:52"
"578","72","0","2024-03-11 11:45:57"
"579","72","3","2024-03-11 11:46:02"
"580","77","2","2024-03-11 13:21:39"
"581","75","4","2024-03-11 13:35:45"
"582","75","4","2024-03-11 13:35:57"
"583","75","4","2024-03-11 13:36:08"
"584","82","4","2024-03-11 13:42:18"
"585","70","0","2024-03-11 13:57:44"
"586","68","0","2024-03-11 14:36:28"
"587","89","1","2024-03-11 15:34:10"
"588","69","3","2024-03-11 15:35:14"
"589","86","1","2024-03-11 16:45:47"
"590","86","0","2024-03-11 16:45:54"
"591","86","0","2024-03-11 16:46:02"
"592","95","3","2024-03-11 16:48:52"
"593","95","3","2024-03-11 16:49:34"
"594","68","3","2024-03-11 17:04:03"
"595","68","0","2024-03-11 18:02:53"
"596","80","3","2024-03-11 22:50:40"
"597","80","2","2024-03-11 22:51:20"
"598","80","1","2024-03-11 22:51:31"
"599","80","1","2024-03-11 22:51:48"
"600","80","2","2024-03-11 22:52:01"
"601","80","3","2024-03-11 22:52:10"
"602","80","0","2024-03-11 22:52:29"
"603","80","0","2024-03-11 22:52:38"
"604","80","0","2024-03-11 22:52:44"
"605","80","4","2024-03-11 22:52:53"
