"team_id","name","runner1","runner2","runner3","outs","runs"
"64","Andy Zhen Forests","3","0","0","0","0"
"65","Bennionville Bobcats","0","0","0","0","0"
"66","Bentown Tippers","2","3","0","0","43"
"67","Billings Enforcers","0","0","0","0","0"
"68","Billville Jovyans","0","0","0","2","35"
"69","Bjornstad Bears","0","0","0","0","8"
"70","Byron Bay Headlands","3","0","0","1","13"
"71","Chandler Bings","1","0","0","0","2"
"72","Dayville Daytrippers","3","1","0","2","27"
"73","Dahlberg Dall Sheep","0","0","0","1","15"
"74","Grandberg Fir Peaks","3","1","0","1","5"
"75","Florence Nightingales","0","0","0","2","6"
"76","Gruberton Groupers","2","0","0","2","10"
"77","Hughville Wagoneers","3","0","0","0","6"
"78","Jacksonville Jackrabbits","0","0","0","0","0"
"79","Jorlette Coordinators","2","0","0","0","12"
"80","Knowlton Knolls","0","0","0","0","0"
"81","Lawless Mappers","0","0","0","0","0"
"82","Madsburg Avocados","3","0","0","2","4"
"83","Marbraska Whitings","0","0","0","0","4"
"84","Megtown Senders","3","0","0","0","2"
"85","Mirandaville Mallards","0","0","0","0","1"
"86","Motown Mosquedas","0","0","0","0","0"
"87","Natesville Narwhals","3","0","0","1","3"
"88","Pearsonville Felines","0","0","0","0","0"
"89","Reynoldstown Wrappers","2","1","0","2","13"
"90","Rylanta Falcons","2","1","0","2","2"
"91","Rosieville Riveters","0","0","0","0","0"
"92","Sudsville Swimmers","2","0","0","0","6"
"93","Timtown Trekkers","0","0","0","0","0"
"94","Victorville Vicars","0","0","0","0","0"
"95","Wellsville Kakuros","0","0","0","0","0"
"96","Worthenton Originals","0","0","0","0","0"
