"bat_id","team_id","bat_result","bat_date"
"547","89","2","2024-03-16 13:51:35"
"548","90","3","2024-03-16 13:52:19"
"549","68","0","2024-03-16 13:52:28"
"550","68","1","2024-03-16 15:08:05"
"551","68","3","2024-03-16 16:48:47"
"552","68","0","2024-03-16 17:36:36"
"553","76","4","2024-03-16 17:52:36"
"554","76","4","2024-03-16 17:52:53"
"555","76","4","2024-03-16 17:53:04"
"556","76","4","2024-03-16 17:53:12"
"557","76","4","2024-03-16 17:53:18"
"558","76","0","2024-03-16 17:53:24"
"559","76","2","2024-03-16 17:53:31"
"560","76","1","2024-03-16 17:53:38"
"561","76","2","2024-03-16 17:53:44"
"562","76","2","2024-03-16 17:53:53"
"563","76","1","2024-03-16 17:53:59"
"564","76","2","2024-03-16 17:54:12"
"565","69","4","2024-03-16 18:23:26"
"566","69","1","2024-03-16 18:23:33"
"567","69","4","2024-03-16 18:23:41"
"568","90","4","2024-03-16 18:52:01"
"569","90","4","2024-03-16 18:52:15"
"570","82","0","2024-03-16 19:28:58"
"571","73","0","2024-03-16 20:44:37"
"572","73","1","2024-03-16 20:44:47"
"573","73","3","2024-03-16 20:45:03"
"574","81","0","2024-03-17 00:32:28"
"575","73","0","2024-03-17 14:08:04"
"576","73","3","2024-03-17 14:08:13"
"577","73","0","2024-03-17 14:08:19"
"578","73","1","2024-03-17 14:08:29"
"579","73","2","2024-03-17 14:08:34"
"580","92","1","2024-03-18 07:11:14"
"581","68","1","2024-03-18 07:11:38"
"582","82","3","2024-03-18 08:15:00"
"583","69","0","2024-03-18 09:03:31"
"584","72","4","2024-03-18 09:05:17"
"585","72","0","2024-03-18 09:05:22"
"586","72","4","2024-03-18 09:05:27"
"587","84","3","2024-03-18 09:19:30"
"588","84","0","2024-03-18 09:19:37"
"589","89","2","2024-03-18 09:40:50"
"590","71","2","2024-03-18 09:43:09"
"591","68","2","2024-03-18 10:26:32"
"592","86","3","2024-03-18 10:33:05"
"593","86","4","2024-03-18 10:33:14"
"594","86","0","2024-03-18 10:33:21"
"595","75","3","2024-03-18 10:39:40"
"596","75","4","2024-03-18 10:39:49"
"597","76","1","2024-03-18 10:45:06"
"598","76","1","2024-03-18 10:45:19"
"599","76","1","2024-03-18 10:45:28"
"600","76","1","2024-03-18 10:45:43"
"601","95","1","2024-03-18 11:38:15"
"602","95","1","2024-03-18 11:38:43"
"603","95","4","2024-03-18 11:38:55"
"604","95","3","2024-03-18 11:39:24"
"605","87","3","2024-03-18 11:52:31"
"606","87","1","2024-03-18 11:52:49"
"607","85","0","2024-03-18 12:04:15"
"608","85","1","2024-03-18 12:04:37"
"609","85","1","2024-03-18 12:04:50"
"610","85","3","2024-03-18 12:05:00"
"611","85","0","2024-03-18 12:05:10"
"612","85","3","2024-03-18 12:05:38"
"613","85","0","2024-03-18 12:05:50"
"614","85","3","2024-03-18 12:05:58"
"615","85","2","2024-03-18 12:06:06"
"616","85","0","2024-03-18 12:06:14"
"617","68","3","2024-03-18 12:25:08"
"618","72","3","2024-03-18 13:38:06"
"619","79","0","2024-03-18 13:48:30"
"620","79","4","2024-03-18 13:48:35"
"621","79","1","2024-03-18 13:48:42"
"622","79","1","2024-03-18 13:48:48"
