"bat_id","team_id","bat_result","bat_date"
"547","82","4","2024-03-23 08:10:13"
"548","89","1","2024-03-23 09:56:22"
"549","89","3","2024-03-23 09:56:35"
"550","68","1","2024-03-23 10:19:13"
"551","68","4","2024-03-23 12:20:04"
"552","68","0","2024-03-23 15:50:13"
"553","76","0","2024-03-23 16:12:13"
"554","76","2","2024-03-23 16:12:20"
"555","76","0","2024-03-23 16:12:29"
"556","76","4","2024-03-23 16:12:38"
"557","68","1","2024-03-23 19:28:14"
"558","79","2","2024-03-23 22:13:33"
"559","79","1","2024-03-23 22:13:39"
"560","79","4","2024-03-23 22:13:48"
"561","79","1","2024-03-23 22:13:56"
"562","90","0","2024-03-24 12:00:24"
"563","90","2","2024-03-24 12:00:35"
"564","89","1","2024-03-24 12:28:59"
"565","89","4","2024-03-24 12:29:50"
"566","69","2","2024-03-24 19:45:01"
"567","69","2","2024-03-24 19:45:08"
"568","69","4","2024-03-24 19:45:14"
"569","68","2","2024-03-25 06:10:17"
"570","92","4","2024-03-25 06:39:59"
"571","76","3","2024-03-25 06:55:12"
"572","76","4","2024-03-25 06:55:24"
"573","68","3","2024-03-25 07:01:31"
"574","85","4","2024-03-25 08:21:52"
"575","68","2","2024-03-25 08:46:26"
"576","82","4","2024-03-25 09:10:29"
"577","89","3","2024-03-25 09:35:47"
"578","75","0","2024-03-25 09:54:56"
"579","75","4","2024-03-25 09:55:02"
"580","75","0","2024-03-25 09:55:07"
"581","68","4","2024-03-25 11:08:42"
"582","72","2","2024-03-25 11:16:03"
"583","72","2","2024-03-25 11:16:08"
"584","72","2","2024-03-25 11:16:12"
"585","72","3","2024-03-25 11:16:16"
"586","72","4","2024-03-25 11:16:19"
"587","72","1","2024-03-25 11:16:23"
"588","72","0","2024-03-25 11:16:28"
"589","72","1","2024-03-25 11:16:31"
"590","79","2","2024-03-25 11:46:25"
"591","71","3","2024-03-25 14:00:54"
"592","71","3","2024-03-25 14:01:01"
"593","70","2","2024-03-25 14:01:07"
"594","70","4","2024-03-25 14:01:18"
"595","70","0","2024-03-25 14:01:24"
"596","70","1","2024-03-25 14:01:35"
"597","70","1","2024-03-25 14:01:40"
"598","70","1","2024-03-25 14:01:48"
"599","70","0","2024-03-25 14:01:55"
"600","74","1","2024-03-25 15:43:58"
"601","74","1","2024-03-25 15:44:05"
"602","74","0","2024-03-25 15:44:18"
"603","74","2","2024-03-25 15:44:26"
"604","74","4","2024-03-25 15:44:31"
"605","74","2","2024-03-25 15:44:37"
"606","74","2","2024-03-25 15:44:42"
"607","74","1","2024-03-25 15:44:46"
"608","83","3","2024-03-25 15:50:47"
"609","83","1","2024-03-25 15:51:00"
"610","83","4","2024-03-25 15:51:08"
"611","83","4","2024-03-25 15:51:16"
"612","89","4","2024-03-25 16:33:36"
"613","92","2","2024-03-25 16:33:57"
"614","68","3","2024-03-25 16:34:17"
"615","69","3","2024-03-25 16:56:23"
"616","68","2","2024-03-25 17:05:50"
"617","77","4","2024-03-25 17:20:08"
"618","77","2","2024-03-25 17:20:12"
"619","68","1","2024-03-25 18:06:13"
"620","89","2","2024-03-25 19:10:01"
"621","68","2","2024-03-25 19:38:05"
"622","68","3","2024-03-25 21:18:23"
"623","68","3","2024-03-26 07:39:37"
"624","73","0","2024-03-26 08:27:00"
"625","73","4","2024-03-26 08:27:06"
"626","73","3","2024-03-26 08:27:11"
"627","73","3","2024-03-26 08:27:16"
"628","73","2","2024-03-26 08:27:23"
"629","73","4","2024-03-26 08:27:28"
"630","73","3","2024-03-26 08:27:32"
"631","73","3","2024-03-26 08:27:37"
"632","84","3","2024-03-26 08:39:40"
"633","84","1","2024-03-26 08:39:51"
"634","84","3","2024-03-26 08:39:58"
"635","72","1","2024-03-26 08:47:22"
"636","72","4","2024-03-26 08:47:25"
"637","72","1","2024-03-26 08:47:29"
"638","72","2","2024-03-26 08:47:32"
"639","72","1","2024-03-26 08:47:35"
