"bat_id","team_id","bat_result","bat_date"
"147","24","4","2023-03-08 08:19:36"
"148","21","1","2023-03-08 08:25:37"
"149","9","0","2023-03-08 08:31:52"
"150","19","1","2023-03-08 11:32:37"
"151","18","2","2023-03-08 12:31:03"
"152","19","3","2023-03-08 14:09:52"
"153","22","4","2023-03-08 14:55:34"
"154","22","2","2023-03-08 14:55:44"
"155","13","3","2023-03-08 15:23:25"
"156","30","0","2023-03-08 17:23:50"
"157","21","1","2023-03-08 22:28:57"
"158","24","0","2023-03-08 23:50:16"
"159","24","1","2023-03-08 23:50:35"
"160","6","4","2023-03-09 06:24:57"
"161","15","0","2023-03-09 07:05:59"
"162","13","3","2023-03-09 08:40:08"
"163","11","1","2023-03-09 09:09:30"
"164","9","3","2023-03-09 09:16:08"
"165","10","2","2023-03-09 09:32:25"
"166","10","1","2023-03-09 09:32:31"
"167","10","4","2023-03-09 09:32:38"
"168","18","3","2023-03-09 11:48:22"
"169","18","4","2023-03-09 11:48:30"
"170","2","1","2023-03-09 11:56:43"
"171","2","2","2023-03-09 11:56:52"
"172","2","2","2023-03-09 11:57:01"
"173","2","0","2023-03-09 11:57:09"
"174","26","2","2023-03-09 12:25:04"
"175","26","2","2023-03-09 12:25:10"
"176","21","1","2023-03-09 19:12:26"
"177","24","1","2023-03-09 19:43:33"
"178","27","2","2023-03-10 00:12:56"
"179","9","4","2023-03-10 08:15:04"
"180","13","1","2023-03-10 08:21:55"
"181","21","0","2023-03-10 08:35:51"
"182","7","3","2023-03-10 09:06:07"
"183","8","1","2023-03-10 09:07:07"
"184","15","1","2023-03-10 09:23:57"
"185","21","0","2023-03-10 13:31:04"
"186","8","3","2023-03-10 16:25:14"
"187","18","4","2023-03-10 18:47:27"
"188","8","3","2023-03-10 22:50:57"
"189","10","0","2023-03-11 10:29:30"
"190","10","0","2023-03-11 10:29:37"
"191","10","1","2023-03-11 10:29:44"
"192","7","4","2023-03-11 12:32:51"
"193","7","3","2023-03-11 12:32:58"
"194","10","2","2023-03-11 14:14:13"
"195","8","4","2023-03-11 18:02:20"
"196","7","0","2023-03-11 20:09:11"
"197","7","0","2023-03-11 20:09:17"
"198","8","2","2023-03-11 23:51:25"
"199","8","1","2023-03-11 23:51:35"
"200","21","1","2023-03-12 11:52:56"
"201","21","3","2023-03-12 11:53:13"
"202","7","4","2023-03-12 12:49:32"
"203","8","1","2023-03-12 14:25:46"
"204","21","3","2023-03-12 15:10:31"
"205","24","2","2023-03-12 16:03:01"
"206","24","1","2023-03-12 16:03:15"
"207","27","1","2023-03-12 17:47:53"
"208","8","0","2023-03-12 20:26:24"
"209","8","2","2023-03-12 23:26:02"
"210","16","1","2023-03-12 23:32:06"
"211","16","1","2023-03-12 23:32:12"
"212","16","4","2023-03-12 23:32:21"
"213","16","3","2023-03-12 23:32:29"
"214","16","3","2023-03-12 23:32:40"
"215","16","2","2023-03-12 23:32:48"
"216","16","2","2023-03-12 23:32:57"
"217","16","2","2023-03-12 23:33:05"
"218","20","2","2023-03-13 07:53:36"
"219","20","1","2023-03-13 07:53:44"
"220","20","3","2023-03-13 07:53:50"
"221","20","0","2023-03-13 07:53:59"
"222","20","0","2023-03-13 07:54:06"
"223","20","4","2023-03-13 07:54:14"
"224","10","3","2023-03-13 07:59:34"
"225","9","0","2023-03-13 08:38:01"
"226","9","3","2023-03-13 08:38:07"
"227","19","3","2023-03-13 09:18:34"
"228","19","1","2023-03-13 09:19:08"
"229","19","3","2023-03-13 09:19:16"
"230","19","3","2023-03-13 09:19:59"
"231","19","2","2023-03-13 09:20:07"
"232","19","4","2023-03-13 09:20:16"
"233","13","4","2023-03-13 09:23:30"
"234","19","0","2023-03-13 09:23:33"
"235","19","4","2023-03-13 09:27:20"
"236","7","3","2023-03-13 10:00:00"
"237","7","1","2023-03-13 10:00:10"
"238","11","1","2023-03-13 10:02:34"
"239","11","0","2023-03-13 10:02:44"
"240","11","4","2023-03-13 10:02:54"
"241","11","0","2023-03-13 10:03:03"
"242","11","0","2023-03-13 10:03:12"
"243","11","3","2023-03-13 10:03:20"
"244","11","4","2023-03-13 10:03:26"
"245","11","2","2023-03-13 10:03:42"
"246","11","1","2023-03-13 10:03:47"
"247","11","2","2023-03-13 10:03:55"
"248","11","0","2023-03-13 10:04:09"
"249","11","3","2023-03-13 10:04:16"
"250","11","0","2023-03-13 10:04:26"
"251","11","1","2023-03-13 10:04:33"
"252","25","2","2023-03-13 11:13:20"
"253","30","0","2023-03-13 12:17:26"
"254","18","2","2023-03-13 13:55:43"
"255","19","0","2023-03-13 18:17:25"
"256","24","4","2023-03-13 20:20:05"
"257","8","2","2023-03-13 20:32:36"
"258","16","3","2023-03-13 23:47:35"
"259","16","1","2023-03-13 23:47:45"
"260","21","3","2023-03-14 00:03:05"
"261","21","0","2023-03-14 00:03:13"
"262","7","3","2023-03-14 07:05:10"
"263","7","3","2023-03-14 07:05:18"
"264","13","0","2023-03-14 08:01:21"
"265","13","0","2023-03-14 08:01:32"
"266","13","4","2023-03-14 08:01:44"
"267","9","2","2023-03-14 08:23:50"
"268","6","0","2023-03-14 09:40:50"
"269","15","0","2023-03-14 10:54:50"
"270","15","1","2023-03-14 10:55:03"
"271","15","2","2023-03-14 10:55:14"
"272","15","1","2023-03-14 10:55:21"
"273","10","3","2023-03-14 11:04:38"
"274","24","2","2023-03-14 11:20:21"
"275","18","0","2023-03-14 12:15:17"
"276","10","4","2023-03-14 13:34:23"
"277","18","4","2023-03-14 21:59:55"
