"bat_id","team_id","bat_result","bat_date"
"1","9","0","2023-03-01 08:11:03"
"2","13","0","2023-03-01 08:13:55"
"3","10","4","2023-03-01 09:01:58"
"4","21","1","2023-03-01 09:27:39"
"5","19","1","2023-03-01 14:39:54"
"6","27","2","2023-03-01 16:38:32"
"7","20","0","2023-03-01 17:13:33"
"8","12","3","2023-03-01 17:13:54"
"9","2","3","2023-03-01 17:15:21"
"10","11","1","2023-03-01 17:16:31"
"11","12","3","2023-03-01 17:16:41"
"12","13","2","2023-03-01 17:33:19"
"13","21","3","2023-03-01 17:33:46"
"14","7","3","2023-03-01 20:14:17"
"15","20","4","2023-03-02 05:38:07"
"16","10","4","2023-03-02 07:37:37"
"17","27","3","2023-03-02 08:04:17"
"18","16","4","2023-03-02 09:04:42"
"19","16","2","2023-03-02 09:04:50"
"20","18","4","2023-03-02 09:29:42"
"21","2","2","2023-03-02 09:42:32"
"22","28","3","2023-03-02 09:56:46"
"23","10","2","2023-03-02 11:52:13"
"24","25","2","2023-03-02 12:04:47"
"25","11","2","2023-03-02 13:06:08"
"26","1","2","2023-03-02 14:20:24"
"27","1","2","2023-03-02 14:20:48"
"28","13","3","2023-03-02 16:03:33"
"29","12","1","2023-03-02 18:04:08"
"30","12","2","2023-03-02 18:04:26"
"31","12","3","2023-03-02 18:56:06"
"32","7","1","2023-03-02 20:16:55"
"33","7","4","2023-03-02 20:17:03"
"34","21","0","2023-03-02 20:37:26"
"35","21","1","2023-03-02 21:31:27"
"36","12","2","2023-03-02 22:11:24"
"37","21","4","2023-03-03 07:08:49"
"38","6","2","2023-03-03 07:18:12"
"39","9","4","2023-03-03 08:03:34"
"40","19","2","2023-03-03 08:24:12"
"41","13","3","2023-03-03 08:33:57"
"42","20","4","2023-03-03 08:53:19"
"43","16","3","2023-03-03 09:09:29"
"44","16","3","2023-03-03 09:09:54"
"45","10","2","2023-03-03 09:17:08"
"46","10","2","2023-03-03 09:17:16"
"47","24","1","2023-03-03 09:58:45"
"48","24","4","2023-03-03 09:59:27"
"49","7","3","2023-03-03 11:50:00"
"50","23","1","2023-03-03 14:22:07"
"51","23","3","2023-03-03 14:22:44"
"52","23","3","2023-03-03 14:23:07"
"53","2","0","2023-03-03 15:55:37"
"54","27","0","2023-03-03 16:12:31"
"55","8","4","2023-03-03 17:29:33"
"56","7","4","2023-03-03 17:48:30"
"57","8","1","2023-03-03 18:37:38"
"58","21","1","2023-03-04 00:05:59"
"59","12","3","2023-03-04 09:09:54"
"60","24","3","2023-03-04 13:40:04"
"61","21","0","2023-03-04 14:20:13"
"62","21","2","2023-03-04 14:20:29"
"63","6","1","2023-03-04 14:49:22"
"64","6","4","2023-03-04 14:49:37"
"65","7","1","2023-03-04 17:32:37"
"66","8","1","2023-03-04 21:48:30"
"67","27","3","2023-03-04 22:52:28"
"68","20","4","2023-03-05 06:11:56"
"69","20","1","2023-03-05 06:12:09"
"70","21","0","2023-03-05 07:56:27"
"71","7","4","2023-03-05 10:58:20"
"72","7","4","2023-03-05 12:41:41"
"73","8","0","2023-03-05 16:25:33"
"74","24","3","2023-03-05 17:25:00"
"75","27","3","2023-03-05 23:23:09"
"76","21","4","2023-03-06 08:04:48"
"77","9","4","2023-03-06 08:06:55"
"78","28","1","2023-03-06 08:29:15"
"79","1","2","2023-03-06 08:41:34"
"80","19","0","2023-03-06 08:44:27"
"81","19","2","2023-03-06 08:44:39"
"82","19","2","2023-03-06 08:44:50"
"83","11","2","2023-03-06 09:17:38"
"84","11","2","2023-03-06 09:19:19"
"85","11","0","2023-03-06 09:19:42"
"86","11","2","2023-03-06 09:20:08"
"87","11","2","2023-03-06 09:20:30"
"88","11","3","2023-03-06 09:20:45"
"89","7","2","2023-03-06 09:47:44"
"90","16","2","2023-03-06 10:38:50"
"91","16","4","2023-03-06 10:38:58"
"92","15","3","2023-03-06 10:43:01"
"93","15","0","2023-03-06 10:43:13"
"94","15","3","2023-03-06 10:43:38"
"95","15","0","2023-03-06 10:43:49"
"96","12","1","2023-03-06 11:07:32"
"97","12","4","2023-03-06 11:07:39"
"98","12","1","2023-03-06 11:07:48"
"99","12","3","2023-03-06 11:07:56"
"100","12","1","2023-03-06 11:08:02"
"101","12","3","2023-03-06 11:08:08"
"102","12","0","2023-03-06 11:08:22"
"103","12","3","2023-03-06 11:08:29"
"104","17","3","2023-03-06 11:55:25"
"105","17","4","2023-03-06 11:55:47"
"106","13","4","2023-03-06 11:59:57"
"107","13","1","2023-03-06 12:00:07"
"108","29","0","2023-03-06 12:01:10"
"109","4","0","2023-03-06 12:06:46"
"110","4","1","2023-03-06 12:07:06"
"111","4","4","2023-03-06 12:07:24"
"112","4","0","2023-03-06 12:07:41"
"113","4","1","2023-03-06 12:08:00"
"114","4","3","2023-03-06 12:08:18"
"115","4","1","2023-03-06 12:08:38"
"116","4","1","2023-03-06 12:08:52"
"117","4","4","2023-03-06 12:09:07"
"118","4","3","2023-03-06 12:09:23"
"119","4","0","2023-03-06 12:09:41"
"120","24","0","2023-03-06 12:12:13"
"121","22","2","2023-03-06 12:12:28"
"122","26","2","2023-03-06 12:14:35"
"123","26","3","2023-03-06 12:14:50"
"124","26","2","2023-03-06 12:14:57"
"125","26","2","2023-03-06 12:15:04"
"126","26","1","2023-03-06 12:15:19"
"127","10","1","2023-03-06 12:28:47"
"128","10","1","2023-03-06 12:28:56"
"129","18","4","2023-03-06 12:29:56"
"130","23","4","2023-03-06 12:39:13"
"131","23","3","2023-03-06 12:39:40"
"132","28","0","2023-03-06 12:53:38"
"133","20","3","2023-03-06 13:34:54"
"134","18","4","2023-03-06 13:47:12"
"135","21","2","2023-03-06 17:01:59"
"136","25","4","2023-03-06 18:27:02"
"137","24","0","2023-03-06 19:42:35"
"138","1","0","2023-03-06 20:51:56"
"139","1","1","2023-03-06 20:52:08"
"140","27","3","2023-03-06 20:55:54"
"141","8","1","2023-03-06 23:33:28"
"142","6","1","2023-03-07 06:42:17"
"143","19","4","2023-03-07 08:11:14"
"144","7","2","2023-03-07 08:16:05"
"145","9","2","2023-03-07 08:25:15"
"146","11","0","2023-03-07 08:30:15"
"147","21","0","2023-03-07 09:01:30"
"148","28","3","2023-03-07 09:45:50"
"149","20","3","2023-03-07 09:56:14"
"150","16","2","2023-03-07 11:38:24"
"151","24","4","2023-03-07 11:45:21"
"152","28","0","2023-03-07 13:07:48"
"153","7","3","2023-03-07 13:08:53"
"154","2","2","2023-03-07 13:09:52"
"155","2","1","2023-03-07 13:09:57"
"156","2","3","2023-03-07 13:10:01"
"157","2","2","2023-03-07 13:10:05"
"158","2","1","2023-03-07 13:10:11"
"159","2","2","2023-03-07 13:10:16"
"160","2","2","2023-03-07 13:10:20"
"161","2","0","2023-03-07 13:10:24"
"162","15","2","2023-03-07 13:18:16"
"163","6","1","2023-03-07 13:31:57"
"164","6","0","2023-03-07 13:32:03"
"165","24","1","2023-03-07 13:42:18"
"166","24","4","2023-03-07 13:42:30"
"167","19","2","2023-03-07 13:43:11"
"168","10","1","2023-03-07 13:51:01"
"169","10","1","2023-03-07 13:51:15"
"170","11","4","2023-03-07 15:33:24"
"171","18","1","2023-03-07 16:38:17"
"172","7","0","2023-03-07 19:46:26"
"173","8","1","2023-03-07 22:22:26"
"174","8","3","2023-03-07 22:22:35"
"175","10","0","2023-03-07 22:47:13"
"176","10","4","2023-03-07 22:47:22"
"177","21","3","2023-03-07 22:49:16"
"178","16","1","2023-03-07 23:03:15"
"179","16","4","2023-03-07 23:04:06"
