"team_id","name","runner1","runner2","runner3","outs","runs"
"64","Andy Zhen Forests","2","0","0","1","3"
"65","Bennionville Bobcats","0","0","0","0","0"
"66","Bentown Tippers","3","1","0","2","21"
"67","Billings Enforcers","0","0","0","0","0"
"68","Billville Jovyans","1","0","0","1","26"
"69","Bjornstad Bears","3","0","0","2","13"
"70","Byron Bay Headlands","2","0","0","0","8"
"71","Chandler Bings","0","0","0","0","3"
"72","Dayville Daytrippers","3","0","0","2","20"
"73","Dahlberg Dall Sheep","3","0","0","2","12"
"74","Grandberg Fir Peaks","0","0","0","0","0"
"75","Florence Nightingales","1","0","0","0","6"
"76","Gruberton Groupers","0","0","0","2","16"
"77","Hughville Wagoneers","0","0","0","0","5"
"78","Jacksonville Jackrabbits","0","0","0","0","0"
"79","Jorlette Coordinators","2","0","0","0","7"
"80","Knowlton Knolls","0","0","0","0","0"
"81","Lawless Mappers","3","0","0","1","2"
"82","Madsburg Avocados","2","1","0","2","1"
"83","Marbraska Whitings","0","0","0","0","0"
"84","Megtown Senders","2","1","0","2","7"
"85","Mirandaville Mallards","3","0","0","1","6"
"86","Motown Mosquedas","2","0","0","1","2"
"87","Natesville Narwhals","1","0","0","0","1"
"88","Pearsonville Felines","0","0","0","0","0"
"89","Reynoldstown Wrappers","0","0","0","1","6"
"90","Rylanta Falcons","2","0","0","1","10"
"91","Rosieville Riveters","0","0","0","0","0"
"92","Sudsville Swimmers","0","0","0","0","7"
"93","Timtown Trekkers","0","0","0","0","0"
"94","Victorville Vicars","0","0","0","0","0"
"95","Wellsville Kakuros","1","0","0","0","5"
"96","Worthenton Originals","0","0","0","0","0"
