team_id,name,runner1,runner2,runner3,outs,runs
4,Bentown Tippers,0.0,0.0,0.0,0.0,30.0
21,Megtown Senders,0.0,0.0,0.0,1.0,27.0
10,Dayville Daytrippers,3.0,2.0,0.0,1.0,13.0
7,Bjornstad Bears,1.0,0.0,0.0,2.0,12.0
28,Victorville Vicars,3.0,2.0,0.0,0.0,11.0
24,Reynoldstown Wrappers,3.0,0.0,0.0,0.0,11.0
8,Byron Bay Bee-Eaters,0.0,0.0,0.0,0.0,11.0
16,Jorlette Coordinators,2.0,0.0,0.0,1.0,10.0
11,Dahlberg Dall Sheep,3.0,2.0,0.0,2.0,10.0
2,Barangay Navio Biyolinistas,0.0,0.0,0.0,1.0,8.0
15,Hughville Wagoneers,3.0,0.0,0.0,1.0,8.0
26,Sobczakgo Cubs,2.0,0.0,0.0,2.0,7.0
27,Sudsville Swimmers,1.0,0.0,0.0,0.0,7.0
20,Marbraska Whitings,2.0,0.0,0.0,1.0,5.0
23,Pearsonville Felines,2.0,0.0,0.0,1.0,5.0
13,Florence Nightingales,3.0,0.0,0.0,0.0,4.0
18,Lawless Mappers,3.0,0.0,0.0,1.0,4.0
19,Mainekala Down Easters,3.0,0.0,0.0,2.0,4.0
12,Grandberg Fir Peaks,0.0,0.0,0.0,0.0,4.0
6,Billville Jovyans,2.0,0.0,0.0,0.0,3.0
1,Andy Zhèn Forests,0.0,0.0,0.0,0.0,2.0
29,Wellsville Kakuros,0.0,0.0,0.0,2.0,0.0
30,Worthenton Originals,3.0,2.0,0.0,0.0,0.0
14,Gruberton Groupers,0.0,0.0,0.0,0.0,0.0
17,Knowlton Knolls,0.0,0.0,0.0,0.0,0.0
22,Mirandaville Mallards,0.0,0.0,0.0,0.0,0.0
9,Chandler Bings,0.0,0.0,0.0,0.0,0.0
25,Rosieville Riveters,0.0,0.0,0.0,0.0,0.0
3,Bennionville Bobcats,0.0,0.0,0.0,0.0,0.0
5,Billings Enforcers,0.0,0.0,0.0,0.0,0.0
